can_nam,can_off,can_par_aff,can_inc_cha_ope_sea,can_sta,tot_con,tra_fro_oth_aut_com,Tot_Mon,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_ope_exp,cov_sta_dat,cov_end_dat,winner,votes
"KING, STEVE MR.",H,REP,INCUMBENT,IA,884854.53,,884854.53,834957.76,136070.31,194463.63,820157.76,1/1/2015,10/19/2016,Y,225846
"HARTZLER, VICKY",H,REP,INCUMBENT,MO,857875.00,,857875.00,689330.58,352837.00,522190.73,382580.58,1/1/2015,10/19/2016,Y,225034
"GOODLATTE, ROBERT W.",H,REP,INCUMBENT,VA,1698027.16,9366.31,1707393.47,1672854.84,978502.01,1020499.02,1457022.20,1/1/2015,10/19/2016,Y,223915
"HOYER, STENY HAMILTON",H,DEM,INCUMBENT,DC,3287891.58,249815.22,3537706.80,3515306.63,803035.64,837750.95,1481833.31,1/1/2015,10/19/2016,Y,223582
"PAULSEN, ERIK",H,REP,INCUMBENT,MN,4502389.51,6546.98,4508936.49,4093995.63,1194960.88,1616178.77,4046303.12,1/1/2015,10/19/2016,Y,223075
"DUFFY, SEAN",H,REP,INCUMBENT,WI,2166109.75,17508.59,2183618.34,1762530.99,674413.06,1107617.93,1651672.20,1/1/2015,10/19/2016,Y,222834
"LAMBORN, DOUGLAS",H,REP,INCUMBENT,CO,566271.14,,566271.14,310308.95,66644.81,322889.25,275363.70,1/1/2015,10/19/2016,Y,222169
"WITTMAN, ROBERT J MR.",H,REP,INCUMBENT,VA,984074.19,1010.40,985084.59,897511.31,895561.70,987052.83,818868.46,1/1/2015,10/19/2016,Y,221826
"BROOKS, SUSAN MRS.",H,REP,INCUMBENT,IN,1519869.46,90088.67,1609958.13,1084197.12,846661.03,1373773.39,810743.59,1/1/2015,10/19/2016,Y,221785
"RENACCI, JAMES B.",H,REP,INCUMBENT,OH,1951781.39,19339.17,1971120.56,1276242.44,285410.26,986098.89,1255612.09,1/1/2015,10/19/2016,Y,221495
"HASTINGS, ALCEE L",H,DEM,INCUMBENT,DC,772606.05,,772606.05,691919.33,154456.95,242262.31,571015.99,1/1/2015,10/19/2016,Y,220452
"ESHOO, ANNA G.",H,DEM,INCUMBENT,CA,1283387.57,,1283387.57,1140822.38,343222.07,489111.87,846962.20,1/1/2015,10/19/2016,Y,220139
"MCHENRY, PATRICK TIMOTHY",H,REP,INCUMBENT,NC,2666119.38,361655.99,3027775.37,1999177.42,840207.84,1872193.60,1322936.51,1/1/2015,10/19/2016,Y,219589
"DAVIDSON, WARREN",H,REP,OPEN,OH,686496.78,,686496.78,798275.07,,141674.53,793305.92,1/1/2015,10/19/2016,Y,219453
"HOLDING, GEORGE E MR.",H,REP,INCUMBENT,NC,2529595.60,98476.91,2628072.51,2613272.10,26982.02,45563.56,2393259.97,1/1/2015,10/19/2016,Y,219342
"MEEHAN, PATRICK L. MR.",H,REP,INCUMBENT,PA,2298812.53,1839.10,2300651.63,1793060.38,1671202.37,2200594.26,1510146.88,1/1/2015,10/19/2016,Y,219314
"MALONEY, CAROLYN B.",H,DEM,INCUMBENT,NY,1545791.80,,1545791.80,1451519.61,476951.06,571223.25,1450447.49,1/1/2015,10/19/2016,Y,219165
"BROWN, ANTHONY GREGORY",H,DEM,OPEN,MD,1162306.44,,1162306.44,1361852.66,,209731.91,1057499.39,1/1/2015,10/19/2016,Y,218215
"BRAT, DAVID ALAN MR.",H,REP,INCUMBENT,VA,1152268.27,52300.00,1204568.27,978545.48,60419.75,289782.77,962865.25,1/1/2015,10/19/2016,Y,217968
"ROTHFUS, KEITH MR.",H,REP,INCUMBENT,PA,1495423.71,93742.86,1589166.57,1454905.03,531139.87,671189.59,1233534.08,1/1/2015,10/19/2016,Y,217449
"COMER, JAMES",H,REP,OPEN,KY,964432.08,,964432.08,928011.79,,138293.67,924138.41,10/1/2015,10/19/2016,Y,216957
"LOUDERMILK, BARRY",H,REP,INCUMBENT,GA,789653.85,367.26,790021.11,808980.55,92672.67,73908.19,762685.59,1/1/2015,10/19/2016,Y,216772
"PERRY, SCOTT",H,REP,INCUMBENT,PA,642359.74,,642359.74,434705.90,150671.25,358490.33,308877.58,1/1/2015,10/19/2016,Y,216772
"DEFAZIO, PETER A",H,DEM,INCUMBENT,OR,1373128.44,,1373128.44,680071.80,96447.57,793122.56,539606.18,1/1/2015,10/19/2016,Y,216442
"STIVERS, STEVE MR.",H,REP,INCUMBENT,OH,2733994.14,37509.50,2771503.64,1907666.91,933142.72,1800136.50,1471614.16,1/1/2015,10/19/2016,Y,216186
"WENSTRUP, BRAD DR.",H,REP,INCUMBENT,OH,1060905.55,8781.80,1069687.35,786615.57,267245.85,550462.99,726661.67,1/1/2015,10/19/2016,Y,215265
"JONES, WALTER B.",H,REP,INCUMBENT,NC,649464.67,,649464.67,650327.56,125475.06,126610.55,642634.18,1/1/2015,10/19/2016,Y,214850
"JOYCE, DAVID P",H,REP,INCUMBENT,OH,2020065.84,,2020065.84,1857857.07,275030.01,437238.78,1846148.87,1/1/2015,10/19/2016,Y,214618
"JOHNSON, HENRY C 'HANK'",H,DEM,INCUMBENT,GA,451286.69,,451286.69,408975.32,15327.54,57868.33,364509.36,1/1/2015,10/19/2016,Y,214278
"MITCHELL, PAUL III",H,REP,OPEN,MI,745418.45,,745418.45,3739795.26,,140252.86,3713321.25,1/1/2015,10/19/2016,Y,214146
"SPEIER, JACKIE",H,DEM,INCUMBENT,CA,823026.64,,823026.64,576794.76,1277243.56,1528777.33,378056.62,1/1/2015,10/19/2016,Y,213612
"DESANTIS, RONALD D.",H,REP,INCUMBENT,FL,4799868.04,57958.09,4857826.13,3707018.82,709750.87,1911856.29,3435710.49,1/1/2015,10/19/2016,Y,213180
"HUIZENGA, WILLIAM P THE HON.",H,REP,INCUMBENT,MI,1152933.79,1224.55,1154158.34,1090489.02,315610.74,385167.99,1003061.09,1/1/2015,10/19/2016,Y,213095
"GRIFFITH, H MORGAN",H,REP,INCUMBENT,VA,797497.25,1939.99,799437.24,777804.94,156691.91,178634.21,467961.15,1/1/2015,10/19/2016,Y,212666
"RUSH, BOBBY LEE",H,DEM,INCUMBENT,IL,565280.00,,565280.00,569711.54,32905.08,28773.54,539521.61,1/1/2015,10/19/2016,Y,212551
"YARMUTH, JOHN A MR",H,DEM,INCUMBENT,KY,619129.04,,619129.04,612024.70,489936.83,494730.04,411951.13,1/1/2015,10/19/2016,Y,212388
"DUNCAN, JOHN J REP. JR.",H,REP,INCUMBENT,TN,317426.10,,317426.10,425080.55,1086528.87,1000931.92,401862.55,1/1/2015,10/19/2016,Y,212313
"CUMMINGS, ELIJAH E",H,DEM,INCUMBENT,DC,1013044.15,,1013044.15,964582.65,890656.95,961720.18,533008.78,1/1/2015,10/19/2016,Y,211962
"DINGELL, DEBBIE",H,DEM,INCUMBENT,MI,1098511.92,,1098511.92,924983.76,327970.56,506268.46,749230.59,1/1/2015,10/19/2016,Y,210922
"BURGESS, MICHAEL C. DR.",H,REP,INCUMBENT,TX,1247079.68,,1247079.68,981094.26,205055.67,471348.95,779636.18,1/1/2015,10/19/2016,Y,210313
"TURNER, MICHAEL R",H,REP,INCUMBENT,OH,972628.27,1748.80,974377.07,1027249.18,413638.96,364669.25,969561.01,1/1/2015,10/19/2016,Y,210256
"ROUZER, DAVID CHESTON MR.",H,REP,INCUMBENT,NC,1217144.74,28697.26,1245842.00,666543.90,64728.33,655030.56,565040.09,1/1/2015,10/19/2016,Y,209933
"KEATING, WILLIAM RICHARD",H,DEM,INCUMBENT,MA,1121054.40,1217.37,1122271.77,399483.42,46536.77,769646.76,377962.38,1/1/2015,10/19/2016,Y,209911
"JOHNSON, BILL",H,REP,INCUMBENT,OH,1626827.85,,1626827.85,1186850.62,335963.32,803673.48,1064131.85,1/1/2015,10/19/2016,Y,209177
"ROONEY, TOM MR.",H,REP,INCUMBENT,FL,560399.03,6278.38,566677.41,775655.47,363528.25,156262.97,653821.25,1/1/2015,10/19/2016,Y,209135
"FRANKEL, LOIS J.",H,DEM,INCUMBENT,FL,1583377.91,,1583377.91,844377.50,72755.81,812227.20,506462.37,1/1/2015,10/19/2016,Y,208999
"DELARUO, ROSA L",H,DEM,INCUMBENT,CT,1033699.47,,1033699.47,984256.49,19365.19,70193.00,538356.49,1/1/2015,10/19/2016,Y,208900
"SIMPSON, MICHAEL",H,REP,INCUMBENT,ID,974963.11,,974963.11,872698.06,70310.12,172575.17,506848.06,1/1/2015,10/19/2016,Y,208887
"ABRAHAM, RALPH LEE DR. JR.",H,REP,INCUMBENT,LA,557945.86,18255.11,576200.97,294167.99,39951.13,322026.32,262567.99,1/1/2015,10/19/2016,Y,208504
"YOUNG, DAVID",H,REP,INCUMBENT,IA,2189722.19,167898.95,2357621.14,1669914.45,29764.21,733925.59,1648502.58,1/1/2015,10/19/2016,Y,208264
"MARINO, THOMAS ANTHONY",H,REP,INCUMBENT,PA,1010652.71,5459.71,1016112.42,878309.56,83275.48,221368.53,701454.12,1/1/2015,10/19/2016,Y,208106
"COURTNEY, JOSEPH D",H,DEM,INCUMBENT,CT,1125294.88,,1125294.88,927290.66,575221.37,783526.16,855841.44,1/1/2015,10/19/2016,Y,207584
"COLLINS, CHRISTOPHER C",H,REP,INCUMBENT,NY,1083815.09,1939.99,1085755.08,507722.48,610793.80,1195507.90,373122.48,1/1/2015,10/19/2016,Y,207510
"GRAVES, GARRET",H,REP,INCUMBENT,LA,1801285.99,,1801285.99,1229107.81,494737.47,1069932.86,1099655.60,1/1/2015,10/19/2016,Y,207456
"BONAMICI, SUZANNE MS.",H,DEM,INCUMBENT,OR,886403.15,,886403.15,744398.82,232372.78,375135.02,525529.45,1/1/2015,10/19/2016,Y,207190
"FERGUSON, ANDERSON DREW IV",H,REP,OPEN,GA,1188520.34,,1188520.34,1060781.86,,127847.12,1031023.22,1/1/2016,10/19/2016,Y,206930
"FITZPATRICK, BRIAN",H,REP,OPEN,PA,1815629.18,,1815629.18,1424269.43,,392863.53,1404169.43,1/1/2016,10/19/2016,Y,206607
"GARRETT, THOMAS ALEXANDER MR. JR.",H,REP,OPEN,VA,493489.09,12889.20,506378.29,441552.39,,86080.05,438348.24,1/1/2016,10/19/2016,Y,206577
"BLUM, RODNEY",H,REP,INCUMBENT,IA,1727598.36,18570.23,1746168.59,1538023.25,44558.10,753672.15,1278679.16,1/1/2015,10/19/2016,Y,206273
"SMITH, CHRISTOPHER H",H,REP,INCUMBENT,NJ,531713.32,,531713.32,450310.34,208995.79,291586.95,370145.34,1/1/2015,10/19/2016,Y,206137
"WALKER, BRADLEY MARK",H,REP,INCUMBENT,NC,818713.63,,818713.63,601608.28,14792.36,249184.24,522237.50,1/1/2015,10/19/2016,Y,205973
"ROSKAM, PETER",H,REP,INCUMBENT,IL,2764536.43,46301.75,2810838.18,2953712.95,457445.62,315953.25,2765597.03,1/1/2015,10/19/2016,Y,205746
"JORDAN, JAMES D.",H,REP,INCUMBENT,OH,698074.37,,698074.37,380549.05,1003238.06,1325090.65,344453.76,1/1/2015,10/19/2016,Y,205669
"BISHOP, MIKE",H,REP,INCUMBENT,MI,1446985.15,6619.10,1453604.25,1153647.38,40589.01,341273.46,1139447.38,1/1/2015,10/19/2016,Y,205617
"CHABOT, STEVE",H,REP,INCUMBENT,OH,923023.98,,923023.98,468698.51,640532.20,1094857.67,450198.51,1/1/2015,10/19/2016,Y,205283
"MESSER, ALLEN LUCAS",H,REP,INCUMBENT,IN,1611691.08,,1611691.08,1264038.51,461480.82,815023.11,850117.48,1/1/2015,10/19/2016,Y,204844
"BROOKS, MO",H,REP,INCUMBENT,AL,450025.21,,450025.21,92131.88,814436.28,1175733.72,86637.98,1/1/2015,10/19/2016,Y,204791
"COMSTOCK, BARBARA J HONORABLE",H,REP,INCUMBENT,VA,4252464.07,384131.55,4636595.62,3760708.99,60988.46,951248.78,3692166.46,1/1/2015,10/19/2016,Y,204019
"COLE, TOM",H,REP,INCUMBENT,OK,1714038.75,,1714038.75,1445403.25,983325.71,1258886.66,1337902.25,1/1/2015,10/19/2016,Y,203942
"GROTHMAN, GLENN S.",H,REP,INCUMBENT,WI,983092.10,,983092.10,756961.15,3509.12,238252.84,739828.38,1/1/2015,10/19/2016,Y,203920
"SCHAKOWSKY, JANICE D",H,DEM,INCUMBENT,IL,1311626.86,,1311626.86,1193119.83,280530.98,412216.40,884011.59,1/1/2015,10/19/2016,Y,203834
"COSTELLO, RYAN A",H,REP,INCUMBENT,PA,2329933.18,15586.02,2345519.20,1750390.78,122159.99,727313.07,1439766.48,1/1/2015,10/19/2016,Y,203671
"RYAN, TIMOTHY J.",H,DEM,INCUMBENT,OH,955858.20,,955858.20,969023.94,386122.52,374390.39,908763.97,1/1/2015,10/19/2016,Y,203430
"KELLY, JOHN TRENT",H,REP,INCUMBENT,MS,1014687.85,,1014687.85,877527.17,,180488.55,771566.17,1/1/2015,10/19/2016,Y,203142
"AMASH, JUSTIN",H,REP,INCUMBENT,MI,632804.39,,632804.39,695619.31,328827.01,279831.33,628800.07,1/1/2015,10/19/2016,Y,203069
"MCCOLLUM, BETTY",H,DFL,INCUMBENT,MN,862414.18,,862414.18,873135.59,171162.96,164740.38,639828.42,1/1/2015,10/19/2016,Y,202558
"SMITH, LAMAR",H,REP,INCUMBENT,TX,1475341.33,,1475341.33,1694337.86,764753.05,581608.40,1533957.21,1/1/2015,10/19/2016,Y,202523
"BARR, GARLAND ANDY",H,REP,INCUMBENT,KY,2317764.24,4300.33,2322064.57,2035976.32,488765.33,781614.19,1801575.26,1/1/2015,10/19/2016,Y,202094
"BLACK, DIANE L MRS.",H,REP,INCUMBENT,TN,1664963.21,,1664963.21,2608987.87,1066815.57,134610.06,2423018.72,1/1/2015,10/19/2016,Y,202038
"QUIGLEY, MIKE",H,DEM,INCUMBENT,IL,961720.11,,961720.11,744180.00,508460.43,726143.77,495004.50,1/1/2015,10/19/2016,Y,201983
"HARPER, GREGG",H,REP,INCUMBENT,MS,850830.00,27000.00,877830.00,1033629.29,813182.89,657383.60,1031629.29,1/1/2015,10/19/2016,Y,201280
"BANKS, JAMES E",H,REP,OPEN,IN,1594659.81,,1594659.81,1375414.83,,219244.98,1268380.07,4/1/2015,10/19/2016,Y,201206
"BERGMAN, JOHN",H,REP,OPEN,MI,742869.97,8793.17,751663.14,1003000.95,,125529.68,974243.16,1/18/2016,10/19/2016,Y,201153
"MAST, BRIAN",H,REP,OPEN,FL,2248442.59,112398.95,2360841.54,1965591.45,,395851.31,1938365.50,4/1/2015,10/19/2016,Y,201011
"TROTT, DAVID A",H,REP,INCUMBENT,MI,1192534.10,,1192534.10,779741.94,50448.01,490268.98,723723.13,1/1/2015,10/19/2016,Y,200787
"THOMPSON, GLENN MR",H,REP,INCUMBENT,PA,1120228.00,24398.39,1144626.39,1095484.57,310510.49,360775.82,1034615.62,1/1/2015,10/19/2016,Y,200627
"SCOTT, ROBERT C.",H,DEM,INCUMBENT,VA,661517.05,,661517.05,577616.15,99952.54,189576.53,422472.69,1/1/2015,10/19/2016,Y,199748
"LEVIN, SANDER M MR",H,DEM,INCUMBENT,MI,1230357.08,564.02,1230921.10,1145783.21,199665.24,298081.99,608029.35,1/1/2015,10/19/2016,Y,199620
"BLACKBURN, MARSHA MRS.",H,REP,INCUMBENT,TN,2016286.49,,2016286.49,1272741.83,1862627.81,2625944.68,1262562.12,1/1/2015,10/19/2016,Y,199057
"DEMINGS, VALDEZ 'VAL'",H,DEM,CHALLENGER,FL,1340971.46,,1340971.46,1296347.15,,55641.83,1155391.62,7/1/2015,10/19/2016,Y,198309
"RICHMOND, CEDRIC L.",H,DEM,INCUMBENT,LA,1323574.61,,1323574.61,756772.56,131994.13,701082.84,622731.05,1/1/2015,10/19/2016,Y,198169
"HULTGREN, RANDY",H,REP,INCUMBENT,IL,1142766.15,7375.87,1150142.02,1028126.28,280861.67,403865.78,679237.91,1/1/2015,10/19/2016,Y,197962
"LOEBSACK, DAVID WAYNE",H,DEM,INCUMBENT,IA,1543736.54,,1543736.54,610455.18,33469.28,983608.75,542597.07,1/1/2015,10/19/2016,Y,197802
"DEUTCH, THEODORE ELIOT",H,DEM,INCUMBENT,FL,1462380.68,,1462380.68,1554143.90,529966.35,440458.84,1315472.86,1/1/2015,10/19/2016,Y,197396
"GOWDY, TREY",H,REP,INCUMBENT,SC,1497630.45,,1497630.45,1201603.23,352926.56,656307.98,802469.83,1/1/2015,10/19/2016,Y,197235
"CONYERS, JOHN JR.",H,DEM,INCUMBENT,MI,601235.45,,601235.45,587087.19,7992.02,26085.44,524673.96,1/1/2015,10/19/2016,Y,197173
"DUNCAN, JEFFREY D MR.",H,REP,INCUMBENT,SC,553960.81,,553960.81,607752.21,162264.25,108855.85,394520.05,1/1/2015,10/19/2016,Y,196793
"BUDD, THEODORE P MR.",H,REP,CHALLENGER,NC,433820.00,,433820.00,420335.99,,63484.01,420035.99,4/1/2016,10/19/2016,Y,196736
"MCCLINTOCK, THOMAS",H,REP,INCUMBENT,CA,995363.00,,995363.00,863592.82,217098.69,349880.43,721156.26,1/1/2015,10/19/2016,Y,196613
"ROE, DAVID PHILLIP DR.",H,REP,INCUMBENT,TN,388217.06,,388217.06,277472.09,380305.49,498069.64,228747.88,1/1/2015,10/19/2016,Y,196563
"GRANGER, KAY",H,REP,INCUMBENT,TX,1382299.90,,1382299.90,987521.28,116463.44,511933.10,635720.60,1/1/2015,10/19/2016,Y,196331
"LARSEN, RICK",H,DEM,INCUMBENT,WA,907164.65,,907164.65,1025044.14,302610.39,185074.74,728688.85,1/1/2015,10/19/2016,Y,195661
"KILDEE, DANIEL T.",H,DEM,INCUMBENT,MI,1008084.97,,1008084.97,570747.99,117453.12,554790.10,398747.99,1/1/2015,10/19/2016,Y,195076
"TONKO, PAUL DAVID",H,DEM,INCUMBENT,NY,1105347.68,,1105347.68,826666.79,456698.26,739230.55,502944.30,1/1/2015,10/19/2016,Y,195005
"SOTO, DARREN",H,DEM,OPEN,FL,1067119.54,,1067119.54,994048.89,,83320.65,971478.89,7/1/2015,10/19/2016,Y,194963
