can_nam,can_off,can_par_aff,can_inc_cha_ope_sea,can_sta,tot_con,tra_fro_oth_aut_com,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_ope_exp,cov_sta_dat,cov_end_dat,winner,votes
"LUETKEMEYER, W BLAINE",H,REP,INCUMBENT,MO,"$1,809,804.99 ","$18,714.81 ","$858,354.38 ","$965,976.43 ","$1,941,810.36 ","$550,469.87 ",1/1/2015,10/19/2016,Y,248880
"LAHOOD, DARIN MCKAY",H,REP,INCUMBENT,IL,"$2,434,843.83 ","$42,651.79 ","$2,026,989.91 ",,"$460,882.83 ","$1,941,921.99 ",1/1/2015,10/19/2016,Y,248701
"POSEY, BILL",H,REP,INCUMBENT,FL,"$845,043.04 ",,"$599,565.07 ","$342,230.68 ","$588,576.15 ","$516,550.17 ",1/1/2015,10/19/2016,Y,246257
"BEYER, DONALD STERNOFF JR.",H,DEM,INCUMBENT,VA,"$1,989,963.61 ",,"$1,280,886.52 ","$86,253.61 ","$814,750.02 ","$742,454.92 ",1/1/2015,10/19/2016,Y,245775
"LAWRENCE, BRENDA LULENAR",H,DEM,INCUMBENT,MI,"$782,933.08 ",,"$644,597.37 ","$89,131.21 ","$228,308.15 ","$498,853.15 ",1/1/2015,10/19/2016,Y,244220
"TIBERI, PATRICK J.",H,REP,INCUMBENT,OH,"$4,261,647.29 ",,"$1,580,568.48 ","$2,501,982.76 ","$5,201,935.66 ","$1,318,584.81 ",1/1/2015,10/19/2016,Y,243970
"SCALISE, STEVE MR.",H,REP,INCUMBENT,LA,"$868,953.07 ","$2,490,273.66 ","$3,406,764.06 ","$482,793.91 ","$455,004.90 ","$2,449,513.59 ",1/1/2015,10/19/2016,Y,243575
"LEWIS, JOHN R.",H,DEM,INCUMBENT,GA,"$983,493.33 ",,"$931,861.53 ","$184,419.65 ","$236,216.43 ","$655,566.55 ",1/1/2015,10/19/2016,Y,241773
"BUCK, KENNETH R",H,REP,INCUMBENT,CO,"$814,511.67 ","$122,124.34 ","$703,143.10 ","$140,466.09 ","$401,585.47 ","$550,056.91 ",1/1/2015,10/19/2016,Y,241424
"PALMER, GARY",H,REP,INCUMBENT,AL,"$1,187,424.52 ",,"$609,868.94 ","$189,712.50 ","$781,799.96 ","$451,946.24 ",1/1/2015,10/19/2016,Y,240897
"LATTA, ROBERT EDWARD MR",H,REP,INCUMBENT,OH,"$1,000,568.32 ",,"$614,047.11 ","$492,878.98 ","$879,548.37 ","$384,494.66 ",1/1/2015,10/19/2016,Y,240036
"ROONEY, FRANCIS",H,REP,OPEN,FL,"$4,554,012.50 ",,"$4,722,777.88 ",,"$281,520.97 ","$4,718,541.53 ",4/1/2016,10/19/2016,Y,238975
"WAGNER, ANN L.",H,REP,INCUMBENT,MO,"$2,210,960.70 ",,"$1,205,337.65 ","$1,368,888.91 ","$2,378,737.36 ","$1,118,312.25 ",1/1/2015,10/19/2016,Y,238826
"BUTTERFIELD, G K",H,DEM,INCUMBENT,NC,"$1,034,423.84 ",,"$752,625.19 ","$387,090.38 ","$677,558.09 ","$645,262.84 ",1/1/2015,10/19/2016,Y,237938
"BRADY, ROBERT A",H,DEM,INCUMBENT,DC,"$644,566.00 ",,"$625,124.98 ","$549,473.17 ","$575,066.15 ","$302,059.98 ",1/1/2015,10/19/2016,Y,237882
"NOEM, KRISTI LYNN",H,REP,INCUMBENT,SD,"$2,225,295.45 ","$9,629.37 ","$1,153,763.90 ","$802,383.57 ","$1,894,546.07 ","$1,082,356.55 ",1/1/2015,10/19/2016,Y,237141
"GRAVES, SAMUEL B JR 'SAM'",H,REP,INCUMBENT,MO,"$1,422,218.45 ","$32,750.00 ","$1,279,592.77 ","$394,483.22 ","$578,169.06 ","$1,008,699.48 ",1/1/2015,10/19/2016,Y,236938
"LABRADOR, RAUL R. HON.",H,REP,INCUMBENT,ID,"$466,174.92 ",,"$822,609.85 ","$370,198.86 ","$19,763.02 ","$755,746.58 ",1/1/2015,10/19/2016,Y,236397
"EMMER, THOMAS EARL JR.",H,REP,INCUMBENT,MN,"$1,649,587.39 ","$115,695.56 ","$1,375,703.31 ","$18,199.74 ","$417,793.38 ","$1,178,785.31 ",1/1/2015,10/19/2016,Y,235384
"TSONGAS, NICOLA S",H,DEM,INCUMBENT,MA,"$1,113,152.63 ","$43,051.00 ","$1,065,199.84 ","$401,337.73 ","$492,351.19 ","$825,206.83 ",1/1/2015,10/19/2016,Y,234361
"MASSIE, THOMAS H.",H,REP,INCUMBENT,KY,"$387,273.34 ","$53,000.00 ","$319,674.75 ","$202,274.26 ","$325,438.04 ","$247,444.68 ",1/1/2015,10/19/2016,Y,233922
"ROCHESTER, LISA BLUNT",H,DEM,OPEN,DE,"$908,738.58 ",,"$1,163,965.10 ",,"$209,285.48 ","$1,102,656.32 ",10/1/2015,10/19/2016,Y,233542
"FUDGE, MARCIA L",H,DEM,INCUMBENT,OH,"$669,881.30 ",$14.02 ,"$577,891.45 ","$667,845.18 ","$760,454.20 ","$568,070.90 ",1/1/2015,10/19/2016,Y,233285
"CRAMER, KEVIN MR.",H,REP,INCUMBENT,ND,"$1,310,404.42 ",,"$737,618.58 ","$20,897.96 ","$595,583.96 ","$727,918.42 ",1/1/2015,10/19/2016,Y,233245
"ADAMS, ALMA SHEALEY",H,DEM,INCUMBENT,NC,"$891,822.41 ",,"$799,615.54 ","$23,091.45 ","$117,318.12 ","$778,075.76 ",1/1/2015,10/19/2016,Y,232451
"DAVIS, DANNY K. MR.",H,DEM,INCUMBENT,IL,"$505,107.32 ",,"$498,709.80 ","$255,301.90 ","$271,505.73 ","$376,136.26 ",1/1/2015,10/19/2016,Y,232322
"CLAY, WILLIAM LACY JR",H,DEM,INCUMBENT,MO,"$599,196.84 ",,"$654,633.68 ","$317,053.11 ","$265,324.14 ","$605,274.68 ",1/1/2015,10/19/2016,Y,231604
"DUNN, NEAL PATRICK MD, FACS",H,REP,OPEN,FL,"$1,299,519.52 ",,"$1,810,067.89 ",,"$81,539.11 ","$1,743,643.09 ",7/1/2015,10/19/2016,Y,230838
"BUCHANAN, VERNON",H,REP,INCUMBENT,FL,"$1,535,329.56 ",$0.50 ,"$698,021.47 ","$724,712.57 ","$1,573,616.46 ","$681,924.36 ",1/1/2015,10/19/2016,Y,230187
"RYAN, PAUL D.",H,REP,INCUMBENT,WI,"$7,258,338.55 ","$11,695,816.30 ","$12,122,208.82 ","$2,680,320.86 ","$9,532,781.76 ","$6,895,091.26 ",1/1/2015,10/19/2016,Y,230063
"SMITH, JASON T",H,UNK,INCUMBENT,MO,"$1,558,425.92 ","$28,349.59 ","$1,165,519.33 ","$146,192.58 ","$571,789.15 ","$965,644.50 ",1/1/2015,10/19/2016,Y,229648
"KELLY, ROBIN L.",H,DEM,INCUMBENT,IL,"$1,035,975.20 ",,"$780,256.31 ","$122,066.79 ","$378,523.75 ","$595,887.94 ",1/1/2015,10/19/2016,Y,229184
"HARRIS, ANDREW P",H,REP,INCUMBENT,MD,"$1,187,269.96 ",,"$665,583.99 ","$297,598.73 ","$820,454.26 ","$500,548.29 ",1/1/2015,10/19/2016,Y,229135
"MEADOWS, MARK R",H,REP,INCUMBENT,NC,"$580,005.32 ",,"$530,763.44 ","$174,406.45 ","$226,899.42 ","$387,382.55 ",1/1/2015,10/19/2016,Y,229130
"LONG, BILLY MR.",H,REP,INCUMBENT,MO,"$1,390,368.55 ","$8,939.99 ","$1,509,758.14 ","$561,805.11 ","$463,152.45 ","$1,478,549.40 ",1/1/2015,10/19/2016,Y,228001
"GALLAGHER, MICHAEL JOHN",H,REP,OPEN,WI,"$2,389,320.14 ",,"$1,974,232.25 ",,"$415,087.89 ","$1,972,257.25 ",1/1/2016,10/19/2016,Y,227703
"LUCAS, FRANK D.",H,REP,INCUMBENT,OK,"$1,130,318.77 ","$3,599.65 ","$1,039,346.54 ","$287,017.55 ","$396,846.52 ","$577,101.79 ",1/1/2015,10/19/2016,Y,227276
"KING, STEVE MR.",H,REP,INCUMBENT,IA,"$884,854.53 ",,"$834,957.76 ","$136,070.31 ","$194,463.63 ","$820,157.76 ",1/1/2015,10/19/2016,Y,225846
"HARTZLER, VICKY",H,REP,INCUMBENT,MO,"$857,875.00 ",,"$689,330.58 ","$352,837.00 ","$522,190.73 ","$382,580.58 ",1/1/2015,10/19/2016,Y,225034
"GOODLATTE, ROBERT W.",H,REP,INCUMBENT,VA,"$1,698,027.16 ","$9,366.31 ","$1,672,854.84 ","$978,502.01 ","$1,020,499.02 ","$1,457,022.20 ",1/1/2015,10/19/2016,Y,223915
"HOYER, STENY HAMILTON",H,DEM,INCUMBENT,DC,"$3,287,891.58 ","$249,815.22 ","$3,515,306.63 ","$803,035.64 ","$837,750.95 ","$1,481,833.31 ",1/1/2015,10/19/2016,Y,223582
"PAULSEN, ERIK",H,REP,INCUMBENT,MN,"$4,502,389.51 ","$6,546.98 ","$4,093,995.63 ","$1,194,960.88 ","$1,616,178.77 ","$4,046,303.12 ",1/1/2015,10/19/2016,Y,223075
"DUFFY, SEAN",H,REP,INCUMBENT,WI,"$2,166,109.75 ","$17,508.59 ","$1,762,530.99 ","$674,413.06 ","$1,107,617.93 ","$1,651,672.20 ",1/1/2015,10/19/2016,Y,222834
"LAMBORN, DOUGLAS",H,REP,INCUMBENT,CO,"$566,271.14 ",,"$310,308.95 ","$66,644.81 ","$322,889.25 ","$275,363.70 ",1/1/2015,10/19/2016,Y,222169
"WITTMAN, ROBERT J MR.",H,REP,INCUMBENT,VA,"$984,074.19 ","$1,010.40 ","$897,511.31 ","$895,561.70 ","$987,052.83 ","$818,868.46 ",1/1/2015,10/19/2016,Y,221826
"BROOKS, SUSAN MRS.",H,REP,INCUMBENT,IN,"$1,519,869.46 ","$90,088.67 ","$1,084,197.12 ","$846,661.03 ","$1,373,773.39 ","$810,743.59 ",1/1/2015,10/19/2016,Y,221785
"RENACCI, JAMES B.",H,REP,INCUMBENT,OH,"$1,951,781.39 ","$19,339.17 ","$1,276,242.44 ","$285,410.26 ","$986,098.89 ","$1,255,612.09 ",1/1/2015,10/19/2016,Y,221495
"HASTINGS, ALCEE L",H,DEM,INCUMBENT,DC,"$772,606.05 ",,"$691,919.33 ","$154,456.95 ","$242,262.31 ","$571,015.99 ",1/1/2015,10/19/2016,Y,220452
"ESHOO, ANNA G.",H,DEM,INCUMBENT,CA,"$1,283,387.57 ",,"$1,140,822.38 ","$343,222.07 ","$489,111.87 ","$846,962.20 ",1/1/2015,10/19/2016,Y,220139
"MCHENRY, PATRICK TIMOTHY",H,REP,INCUMBENT,NC,"$2,666,119.38 ","$361,655.99 ","$1,999,177.42 ","$840,207.84 ","$1,872,193.60 ","$1,322,936.51 ",1/1/2015,10/19/2016,Y,219589
"DAVIDSON, WARREN",H,REP,OPEN,OH,"$686,496.78 ",,"$798,275.07 ",,"$141,674.53 ","$793,305.92 ",1/1/2015,10/19/2016,Y,219453
"HOLDING, GEORGE E MR.",H,REP,INCUMBENT,NC,"$2,529,595.60 ","$98,476.91 ","$2,613,272.10 ","$26,982.02 ","$45,563.56 ","$2,393,259.97 ",1/1/2015,10/19/2016,Y,219342
"MEEHAN, PATRICK L. MR.",H,REP,INCUMBENT,PA,"$2,298,812.53 ","$1,839.10 ","$1,793,060.38 ","$1,671,202.37 ","$2,200,594.26 ","$1,510,146.88 ",1/1/2015,10/19/2016,Y,219314
"MALONEY, CAROLYN B.",H,DEM,INCUMBENT,NY,"$1,545,791.80 ",,"$1,451,519.61 ","$476,951.06 ","$571,223.25 ","$1,450,447.49 ",1/1/2015,10/19/2016,Y,219165
"BROWN, ANTHONY GREGORY",H,DEM,OPEN,MD,"$1,162,306.44 ",,"$1,361,852.66 ",,"$209,731.91 ","$1,057,499.39 ",1/1/2015,10/19/2016,Y,218215
"BRAT, DAVID ALAN MR.",H,REP,INCUMBENT,VA,"$1,152,268.27 ","$52,300.00 ","$978,545.48 ","$60,419.75 ","$289,782.77 ","$962,865.25 ",1/1/2015,10/19/2016,Y,217968
"ROTHFUS, KEITH MR.",H,REP,INCUMBENT,PA,"$1,495,423.71 ","$93,742.86 ","$1,454,905.03 ","$531,139.87 ","$671,189.59 ","$1,233,534.08 ",1/1/2015,10/19/2016,Y,217449
"COMER, JAMES",H,REP,OPEN,KY,"$964,432.08 ",,"$928,011.79 ",,"$138,293.67 ","$924,138.41 ",10/1/2015,10/19/2016,Y,216957
"LOUDERMILK, BARRY",H,REP,INCUMBENT,GA,"$789,653.85 ",$367.26 ,"$808,980.55 ","$92,672.67 ","$73,908.19 ","$762,685.59 ",1/1/2015,10/19/2016,Y,216772
"PERRY, SCOTT",H,REP,INCUMBENT,PA,"$642,359.74 ",,"$434,705.90 ","$150,671.25 ","$358,490.33 ","$308,877.58 ",1/1/2015,10/19/2016,Y,216772
"DEFAZIO, PETER A",H,DEM,INCUMBENT,OR,"$1,373,128.44 ",,"$680,071.80 ","$96,447.57 ","$793,122.56 ","$539,606.18 ",1/1/2015,10/19/2016,Y,216442
"STIVERS, STEVE MR.",H,REP,INCUMBENT,OH,"$2,733,994.14 ","$37,509.50 ","$1,907,666.91 ","$933,142.72 ","$1,800,136.50 ","$1,471,614.16 ",1/1/2015,10/19/2016,Y,216186
"WENSTRUP, BRAD DR.",H,REP,INCUMBENT,OH,"$1,060,905.55 ","$8,781.80 ","$786,615.57 ","$267,245.85 ","$550,462.99 ","$726,661.67 ",1/1/2015,10/19/2016,Y,215265
"JONES, WALTER B.",H,REP,INCUMBENT,NC,"$649,464.67 ",,"$650,327.56 ","$125,475.06 ","$126,610.55 ","$642,634.18 ",1/1/2015,10/19/2016,Y,214850
"JOYCE, DAVID P",H,REP,INCUMBENT,OH,"$2,020,065.84 ",,"$1,857,857.07 ","$275,030.01 ","$437,238.78 ","$1,846,148.87 ",1/1/2015,10/19/2016,Y,214618
"JOHNSON, HENRY C 'HANK'",H,DEM,INCUMBENT,GA,"$451,286.69 ",,"$408,975.32 ","$15,327.54 ","$57,868.33 ","$364,509.36 ",1/1/2015,10/19/2016,Y,214278
"MITCHELL, PAUL III",H,REP,OPEN,MI,"$745,418.45 ",,"$3,739,795.26 ",,"$140,252.86 ","$3,713,321.25 ",1/1/2015,10/19/2016,Y,214146
"SPEIER, JACKIE",H,DEM,INCUMBENT,CA,"$823,026.64 ",,"$576,794.76 ","$1,277,243.56 ","$1,528,777.33 ","$378,056.62 ",1/1/2015,10/19/2016,Y,213612
"DESANTIS, RONALD D.",H,REP,INCUMBENT,FL,"$4,799,868.04 ","$57,958.09 ","$3,707,018.82 ","$709,750.87 ","$1,911,856.29 ","$3,435,710.49 ",1/1/2015,10/19/2016,Y,213180
"HUIZENGA, WILLIAM P THE HON.",H,REP,INCUMBENT,MI,"$1,152,933.79 ","$1,224.55 ","$1,090,489.02 ","$315,610.74 ","$385,167.99 ","$1,003,061.09 ",1/1/2015,10/19/2016,Y,213095
"GRIFFITH, H MORGAN",H,REP,INCUMBENT,VA,"$797,497.25 ","$1,939.99 ","$777,804.94 ","$156,691.91 ","$178,634.21 ","$467,961.15 ",1/1/2015,10/19/2016,Y,212666
"RUSH, BOBBY LEE",H,DEM,INCUMBENT,IL,"$565,280.00 ",,"$569,711.54 ","$32,905.08 ","$28,773.54 ","$539,521.61 ",1/1/2015,10/19/2016,Y,212551
"YARMUTH, JOHN A MR",H,DEM,INCUMBENT,KY,"$619,129.04 ",,"$612,024.70 ","$489,936.83 ","$494,730.04 ","$411,951.13 ",1/1/2015,10/19/2016,Y,212388
"DUNCAN, JOHN J REP. JR.",H,REP,INCUMBENT,TN,"$317,426.10 ",,"$425,080.55 ","$1,086,528.87 ","$1,000,931.92 ","$401,862.55 ",1/1/2015,10/19/2016,Y,212313
"CUMMINGS, ELIJAH E",H,DEM,INCUMBENT,DC,"$1,013,044.15 ",,"$964,582.65 ","$890,656.95 ","$961,720.18 ","$533,008.78 ",1/1/2015,10/19/2016,Y,211962
"DINGELL, DEBBIE",H,DEM,INCUMBENT,MI,"$1,098,511.92 ",,"$924,983.76 ","$327,970.56 ","$506,268.46 ","$749,230.59 ",1/1/2015,10/19/2016,Y,210922
"BURGESS, MICHAEL C. DR.",H,REP,INCUMBENT,TX,"$1,247,079.68 ",,"$981,094.26 ","$205,055.67 ","$471,348.95 ","$779,636.18 ",1/1/2015,10/19/2016,Y,210313
"TURNER, MICHAEL R",H,REP,INCUMBENT,OH,"$972,628.27 ","$1,748.80 ","$1,027,249.18 ","$413,638.96 ","$364,669.25 ","$969,561.01 ",1/1/2015,10/19/2016,Y,210256
"ROUZER, DAVID CHESTON MR.",H,REP,INCUMBENT,NC,"$1,217,144.74 ","$28,697.26 ","$666,543.90 ","$64,728.33 ","$655,030.56 ","$565,040.09 ",1/1/2015,10/19/2016,Y,209933
"KEATING, WILLIAM RICHARD",H,DEM,INCUMBENT,MA,"$1,121,054.40 ","$1,217.37 ","$399,483.42 ","$46,536.77 ","$769,646.76 ","$377,962.38 ",1/1/2015,10/19/2016,Y,209911
"JOHNSON, BILL",H,REP,INCUMBENT,OH,"$1,626,827.85 ",,"$1,186,850.62 ","$335,963.32 ","$803,673.48 ","$1,064,131.85 ",1/1/2015,10/19/2016,Y,209177
"ROONEY, TOM MR.",H,REP,INCUMBENT,FL,"$560,399.03 ","$6,278.38 ","$775,655.47 ","$363,528.25 ","$156,262.97 ","$653,821.25 ",1/1/2015,10/19/2016,Y,209135
"FRANKEL, LOIS J.",H,DEM,INCUMBENT,FL,"$1,583,377.91 ",,"$844,377.50 ","$72,755.81 ","$812,227.20 ","$506,462.37 ",1/1/2015,10/19/2016,Y,208999
"DELARUO, ROSA L",H,DEM,INCUMBENT,CT,"$1,033,699.47 ",,"$984,256.49 ","$19,365.19 ","$70,193.00 ","$538,356.49 ",1/1/2015,10/19/2016,Y,208900
"SIMPSON, MICHAEL",H,REP,INCUMBENT,ID,"$974,963.11 ",,"$872,698.06 ","$70,310.12 ","$172,575.17 ","$506,848.06 ",1/1/2015,10/19/2016,Y,208887
"ABRAHAM, RALPH LEE DR. JR.",H,REP,INCUMBENT,LA,"$557,945.86 ","$18,255.11 ","$294,167.99 ","$39,951.13 ","$322,026.32 ","$262,567.99 ",1/1/2015,10/19/2016,Y,208504
"YOUNG, DAVID",H,REP,INCUMBENT,IA,"$2,189,722.19 ","$167,898.95 ","$1,669,914.45 ","$29,764.21 ","$733,925.59 ","$1,648,502.58 ",1/1/2015,10/19/2016,Y,208264
"MARINO, THOMAS ANTHONY",H,REP,INCUMBENT,PA,"$1,010,652.71 ","$5,459.71 ","$878,309.56 ","$83,275.48 ","$221,368.53 ","$701,454.12 ",1/1/2015,10/19/2016,Y,208106
"COURTNEY, JOSEPH D",H,DEM,INCUMBENT,CT,"$1,125,294.88 ",,"$927,290.66 ","$575,221.37 ","$783,526.16 ","$855,841.44 ",1/1/2015,10/19/2016,Y,207584
"COLLINS, CHRISTOPHER C",H,REP,INCUMBENT,NY,"$1,083,815.09 ","$1,939.99 ","$507,722.48 ","$610,793.80 ","$1,195,507.90 ","$373,122.48 ",1/1/2015,10/19/2016,Y,207510
"GRAVES, GARRET",H,REP,INCUMBENT,LA,"$1,801,285.99 ",,"$1,229,107.81 ","$494,737.47 ","$1,069,932.86 ","$1,099,655.60 ",1/1/2015,10/19/2016,Y,207456
"BONAMICI, SUZANNE MS.",H,DEM,INCUMBENT,OR,"$886,403.15 ",,"$744,398.82 ","$232,372.78 ","$375,135.02 ","$525,529.45 ",1/1/2015,10/19/2016,Y,207190
"FERGUSON, ANDERSON DREW IV",H,REP,OPEN,GA,"$1,188,520.34 ",,"$1,060,781.86 ",,"$127,847.12 ","$1,031,023.22 ",1/1/2016,10/19/2016,Y,206930
"FITZPATRICK, BRIAN",H,REP,OPEN,PA,"$1,815,629.18 ",,"$1,424,269.43 ",,"$392,863.53 ","$1,404,169.43 ",1/1/2016,10/19/2016,Y,206607
"GARRETT, THOMAS ALEXANDER MR. JR.",H,REP,OPEN,VA,"$493,489.09 ","$12,889.20 ","$441,552.39 ",,"$86,080.05 ","$438,348.24 ",1/1/2016,10/19/2016,Y,206577
"BLUM, RODNEY",H,REP,INCUMBENT,IA,"$1,727,598.36 ","$18,570.23 ","$1,538,023.25 ","$44,558.10 ","$753,672.15 ","$1,278,679.16 ",1/1/2015,10/19/2016,Y,206273
"SMITH, CHRISTOPHER H",H,REP,INCUMBENT,NJ,"$531,713.32 ",,"$450,310.34 ","$208,995.79 ","$291,586.95 ","$370,145.34 ",1/1/2015,10/19/2016,Y,206137
"WALKER, BRADLEY MARK",H,REP,INCUMBENT,NC,"$818,713.63 ",,"$601,608.28 ","$14,792.36 ","$249,184.24 ","$522,237.50 ",1/1/2015,10/19/2016,Y,205973
"ROSKAM, PETER",H,REP,INCUMBENT,IL,"$2,764,536.43 ","$46,301.75 ","$2,953,712.95 ","$457,445.62 ","$315,953.25 ","$2,765,597.03 ",1/1/2015,10/19/2016,Y,205746
"JORDAN, JAMES D.",H,REP,INCUMBENT,OH,"$698,074.37 ",,"$380,549.05 ","$1,003,238.06 ","$1,325,090.65 ","$344,453.76 ",1/1/2015,10/19/2016,Y,205669
"BISHOP, MIKE",H,REP,INCUMBENT,MI,"$1,446,985.15 ","$6,619.10 ","$1,153,647.38 ","$40,589.01 ","$341,273.46 ","$1,139,447.38 ",1/1/2015,10/19/2016,Y,205617
"CHABOT, STEVE",H,REP,INCUMBENT,OH,"$923,023.98 ",,"$468,698.51 ","$640,532.20 ","$1,094,857.67 ","$450,198.51 ",1/1/2015,10/19/2016,Y,205283
"MESSER, ALLEN LUCAS",H,REP,INCUMBENT,IN,"$1,611,691.08 ",,"$1,264,038.51 ","$461,480.82 ","$815,023.11 ","$850,117.48 ",1/1/2015,10/19/2016,Y,204844
"BROOKS, MO",H,REP,INCUMBENT,AL,"$450,025.21 ",,"$92,131.88 ","$814,436.28 ","$1,175,733.72 ","$86,637.98 ",1/1/2015,10/19/2016,Y,204791
"COMSTOCK, BARBARA J HONORABLE",H,REP,INCUMBENT,VA,"$4,252,464.07 ","$384,131.55 ","$3,760,708.99 ","$60,988.46 ","$951,248.78 ","$3,692,166.46 ",1/1/2015,10/19/2016,Y,204019
"COLE, TOM",H,REP,INCUMBENT,OK,"$1,714,038.75 ",,"$1,445,403.25 ","$983,325.71 ","$1,258,886.66 ","$1,337,902.25 ",1/1/2015,10/19/2016,Y,203942
"GROTHMAN, GLENN S.",H,REP,INCUMBENT,WI,"$983,092.10 ",,"$756,961.15 ","$3,509.12 ","$238,252.84 ","$739,828.38 ",1/1/2015,10/19/2016,Y,203920
"SCHAKOWSKY, JANICE D",H,DEM,INCUMBENT,IL,"$1,311,626.86 ",,"$1,193,119.83 ","$280,530.98 ","$412,216.40 ","$884,011.59 ",1/1/2015,10/19/2016,Y,203834
"COSTELLO, RYAN A",H,REP,INCUMBENT,PA,"$2,329,933.18 ","$15,586.02 ","$1,750,390.78 ","$122,159.99 ","$727,313.07 ","$1,439,766.48 ",1/1/2015,10/19/2016,Y,203671
"RYAN, TIMOTHY J.",H,DEM,INCUMBENT,OH,"$955,858.20 ",,"$969,023.94 ","$386,122.52 ","$374,390.39 ","$908,763.97 ",1/1/2015,10/19/2016,Y,203430
"KELLY, JOHN TRENT",H,REP,INCUMBENT,MS,"$1,014,687.85 ",,"$877,527.17 ",,"$180,488.55 ","$771,566.17 ",1/1/2015,10/19/2016,Y,203142
"AMASH, JUSTIN",H,REP,INCUMBENT,MI,"$632,804.39 ",,"$695,619.31 ","$328,827.01 ","$279,831.33 ","$628,800.07 ",1/1/2015,10/19/2016,Y,203069
"MCCOLLUM, BETTY",H,DFL,INCUMBENT,MN,"$862,414.18 ",,"$873,135.59 ","$171,162.96 ","$164,740.38 ","$639,828.42 ",1/1/2015,10/19/2016,Y,202558
